ID,ITEM,RESTAURANT,CATEGORY,DINING PLAN,LOCATION,DISNEY PARK,DESCRIPTION,PRICE,IS_DDP_SNACK
1,"Pineapple Upside-down Cake ,",Aloha Isle - Snacks,Snacks,Snack,Adventureland,Magic Kingdom,"Served with choice of DOLE Whip® Pineapple, DOLE Whip® Vanilla, or Swirl",$7.49,true
2,"Pineapple DOLE Whip® Cup,",Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,"choice of Pineapple DOLE Whip®, Vanilla DOLE Whip® or Swirl\nVegetarian",$5.99,true
3,"Pineapple Juice Float,",Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,"DOLE® Pineapple Juice served with a choice of Pineapple DOLE Whip®, Vanilla DOLE Whip® or Swirl\nVegetarian",$7.29,true
4,"Tropical Serenade Float,",Aloha Isle - Snacks,Ice Cream,,Adventureland,Magic Kingdom,"Pineapple-Orange-Guava Juice, Coconut Soft-serve, and an Upside-down Pineapple Cake Pop",$7.99,false
5,Coconut Cup,Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,Choice of Coconut or Coconut and DOLE Whip® Pineapple Swirl,$5.99,true
6,Bottled Water,Aloha Isle - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
7,Pineapple Juice,Aloha Isle - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.29,true
8,"Cheeseburger Spring Rolls,",Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,two; house-made,$9.49,false
9,Egg Roll Combo,Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,one of each type,$9.49,false
10,"Pepperoni and Cheese Spring Rolls,",Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,,$9.49,false
11,Breakfast Bagel Sandwich,Egg Roll Wagon - Snacks,Breakfast,,Adventureland,Magic Kingdom,"sausage, egg and cheddar served on a bagel",$7.25,false
12,Bottled Soft Drinks,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,"Coca-Cola, Diet Coke, Sprite",$5.50,true
13,Bottled Water,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
14,Smart Water,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$6.25,true
15,Safari Snack,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,Cucumbers and Carrots served with a Cucumber-Yogurt Dip,$3.25,false
16,Serengeti Salad,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,with fat-free ranch dressing,$3.25,false
17,Cola-Braised Barbecue Beef,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Tender Beef with Coca-Cola® Barbecue Sauce featuring Coca-Cola® served with choice of two (2) Selections and choice of Small Lowfat Milk, Small DASANI® Bottled Water, or Small Minute Maid® Apple Juice",$13.50,false
18,"Junior Skip's Mac and Cheese,","Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$11.50,false
19,Chef Tandaji's Crispy Chicken,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$12.50,false
20,Congo Connie's Coconut Curry Concoction,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Served with Pineapple Tofu, Jasmine Rice",$13.50,false
21,Grilled Chicken,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$12.50,false
22,"Volcano Cake,","Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,Gooey chocolate cake with caramel lava and exploding chocolate rocks,,false
23,Seasonal Fruit,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
24,Chocolate-covered Banana Pieces,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
25,Mashed Potatoes,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
26,Jasmine Rice,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
27,Seasonal Veggies,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
28,Specialty Character Drink,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Specialty Beverages (non-alcoholic),,Adventureland,Magic Kingdom,Minute Maid® Zero Sugar Lemonade with flavors of Cotton Candy served in a souvenir Character Cup,$7.00,false
29,Panna-Connie's Congo Lime Delight,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,Lime 'Panna Cotta' served with Mango-Lime Sorbet and Fresh Fruit\nVegetarian,$9.50,false
30,"""Mystic Treasure""","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Kalamansi Namelaka, Mango Crémeux, and House-made Graham Cracker",$9,false
31,Brigadeiro Prestígio,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Dark Chocolate Ganache Tart, Coconut Mousse, and Salted Dulce de Leche",$9.500,false
32,Malva Pudding Cake,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Amarula Cream Liqueur, Vanilla Bean Whipped Ganache, and Apricot-Caramel Coulis with Vanilla Gelato",$9.50,false
33,"Orinoco Ida's Cachapas,","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"And you thought our jokes were corny! House-made Corn Pancakes, Beer-braised Pork, Roasted Corn, Fresno Pepper Salsa, and Avocado Cream",$15,false
34,"Falls Family Falafel,","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"A secret recipe of chickpeas, garlic, onions, lemon juice and herbs with white bean dip and tomato-cucumber salad\nVegetarian",$12,false
35,Jungle Green Salad,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"From the depths of the jungle… Skipper Bill’s Salad Blend with Hearts of Palm, Cucumbers, Sugar Snap Peas, Sweet Peppers with Charred Shishito Dressing, and Toasted Brazilian Nuts",$11,false
36,"Pineapple DOLE Whip® Cup,",Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,"choice of Pineapple DOLE Whip®, Vanilla DOLE Whip® or Swirl
Vegetarian",$5.99,true
37,"Pineapple Juice Float,",Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,"DOLE® Pineapple Juice served with a choice of Pineapple DOLE Whip®, Vanilla DOLE Whip® or Swirl
Vegetarian",$7.29,true
38,"Tropical Serenade Float,",Aloha Isle - Snacks,Ice Cream,,Adventureland,Magic Kingdom,"Pineapple-Orange-Guava Juice, Coconut Soft-serve, and an Upside-down Pineapple Cake Pop",$7.99,false
39,Coconut Cup,Aloha Isle - Snacks,Ice Cream,Snack,Adventureland,Magic Kingdom,Choice of Coconut or Coconut and DOLE Whip® Pineapple Swirl,$5.99,true
40,Bottled Water,Aloha Isle - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
41,Pineapple Juice,Aloha Isle - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.29,true
42,"Cheeseburger Spring Rolls,",Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,two; house-made,$9.49,false
43,Egg Roll Combo,Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,one of each type,$9.49,false
44,"Pepperoni and Cheese Spring Rolls,",Egg Roll Wagon - Snacks,Other,,Adventureland,Magic Kingdom,,$9.49,false
45,Breakfast Bagel Sandwich,Egg Roll Wagon - Snacks,Breakfast,,Adventureland,Magic Kingdom,"sausage, egg and cheddar served on a bagel",$7.25,false
46,Bottled Soft Drinks,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,"Coca-Cola, Diet Coke, Sprite",$5.50,true
47,Bottled Water,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
48,Smart Water,Egg Roll Wagon - Snacks,Beverages,Snack,Adventureland,Magic Kingdom,,$6.25,true
49,Safari Snack,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,Cucumbers and Carrots served with a Cucumber-Yogurt Dip,$3.25,false
50,Serengeti Salad,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,with fat-free ranch dressing,$3.25,false
51,Cola-Braised Barbecue Beef,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Tender Beef with Coca-Cola® Barbecue Sauce featuring Coca-Cola® served with choice of two (2) Selections and choice of Small Lowfat Milk, Small DASANI® Bottled Water, or Small Minute Maid® Apple Juice",$13.50,false
52,"Junior Skip's Mac and Cheese,","Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$11.50,false
53,Chef Tandaji's Crispy Chicken,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$12.50,false
54,Congo Connie's Coconut Curry Concoction,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Served with Pineapple Tofu, Jasmine Rice",$13.50,false
55,Grilled Chicken,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,,$12.50,false
56,"Volcano Cake,","Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,Gooey chocolate cake with caramel lava and exploding chocolate rocks,,false
57,Seasonal Fruit,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
58,Chocolate-covered Banana Pieces,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
59,Mashed Potatoes,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
60,Jasmine Rice,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
61,Seasonal Veggies,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",entrees,,Adventureland,Magic Kingdom,,,false
62,Specialty Character Drink,"Jungle Navigation Co., Ltd. Skipper Canteen  - Children's Lunch/Dinner",Specialty Beverages (non-alcoholic),,Adventureland,Magic Kingdom,Minute Maid® Zero Sugar Lemonade with flavors of Cotton Candy served in a souvenir Character Cup,$7.00,false
63,Panna-Connie's Congo Lime Delight,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Lime 'Panna Cotta' served with Mango-Lime Sorbet and Fresh Fruit
Vegetarian",$9.50,false
64,"""Mystic Treasure""","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Kalamansi Namelaka, Mango Crémeux, and House-made Graham Cracker",$9,false
65,Brigadeiro Prestígio,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Dark Chocolate Ganache Tart, Coconut Mousse, and Salted Dulce de Leche",$9.500,false
66,Malva Pudding Cake,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Dessert,,Adventureland,Magic Kingdom,"Amarula Cream Liqueur, Vanilla Bean Whipped Ganache, and Apricot-Caramel Coulis with Vanilla Gelato",$9.50,false
67,"Orinoco Ida's Cachapas,","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"And you thought our jokes were corny! House-made Corn Pancakes, Beer-braised Pork, Roasted Corn, Fresno Pepper Salsa, and Avocado Cream",$15,false
68,"Falls Family Falafel,","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"A secret recipe of chickpeas, garlic, onions, lemon juice and herbs with white bean dip and tomato-cucumber salad
Vegetarian",$12,false
69,Jungle Green Salad,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"From the depths of the jungle… Skipper Bill’s Salad Blend with Hearts of Palm, Cucumbers, Sugar Snap Peas, Sweet Peppers with Charred Shishito Dressing, and Toasted Brazilian Nuts",$11,false
70,Lost and Found Soup,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"Chef's seasonal soup, please ask your Skipper for today's selection",$10,false
71,Tiradito de Tuna,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Appetizers/Starters,,Adventureland,Magic Kingdom,"You'll get hooked on Skipper Annette's latest catch! Togarashi-spiced Tuna, Avocado, Ají Amarillo Sauce, and Corn Nuts",$18,false
72,"Hardy Har Char Siu Pork,","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Char Siu-glazed Smoked Pork Chop, Jasmine Rice, and Mirin-marinated Vegetables",$32,false
73,"Curried Vegetable Crew Stew,","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"served with coconut rice, seasonal vegetables and house-made curry sauce
Vegetarian",$23,false
74,"""Tastes Like Chicken"" Because it is!","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Crispy-fried Chicken, Jasmine Rice, Chili-Soy Glaze, and Pickled Vegetable Slaw",$30,false
75,Catch of the Day,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"“Not Piranha” served over Bok Choy, Lotus Root, Bell Peppers, and Shiitake Mushrooms in a light Ginger-Lemon Grass Broth",$35,false
76,Dr. Falls Signature Grilled Steak,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Marinated Hanger Steak Lomo Saltado-style with Roasted Peppers, Onions, Tomatoes, and Aji Amarillo Aïoli",$41,false
77,Nile Nellie's Noodle Bowl,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Niles and Niles of Rice Noodles… Stir-fried Shrimp, Tamarind Sauce, Toasted Peanuts, and Fresh Herbs",$35,false
78,Mess Hall Duck Fried Rice,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Entrees,,Adventureland,Magic Kingdom,"Five Spice-glazed Leg, Duck Fried Rice, Cucumber Salad, and Fresno Peppers",$31,false
79,Soft Drinks,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Beverages,,Adventureland,Magic Kingdom,"Coke, Coke Zero, Coke Zero Sugar, diet Coke, Sprite, Orange, Root Beer, Zero Sugar Lemonade, Powerade, Iced Tea",$4.99,false
80,Hot Teas,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Beverages,,Adventureland,Magic Kingdom,various selections,,false
81,Coffee,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Beverages,,Adventureland,Magic Kingdom,"coffee, espresso, cappuccino and lattes",,false
82,Twinings Tea Collection,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Beverages,,Adventureland,Magic Kingdom,,,false
83,Specialty Character Drink,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Specialty Beverages (non-alcoholic),,Adventureland,Magic Kingdom,Minute Maid® Zero Sugar Lemonade with flavors of Cotton Candy served in a souvenir Character Cup,$7.00,false
84,Enchanted Orange Dream,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Specialty Beverages (non-alcoholic),,Adventureland,Magic Kingdom,DOLE Whip® Orange blended with Vanilla Soft-serve and served with an Orange Candy rim,$9.75,false
85,"Jungle Bird Cocktail ,","Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Specialty Cocktails,,Adventureland,Magic Kingdom,"features Gosling Black Rum, Campari, cane syrup, and pineapple and lime juices",$16.50,false
86,Sunset Margarita,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Specialty Cocktails,,Adventureland,Magic Kingdom,"Teremana Blanco Tequila, Grand Marnier Liqueur, Smoked Chili Bitters, Lime, and Agave",$18.50,false
87,Coconut-Mango Cocktail,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Specialty Cocktails,,Adventureland,Magic Kingdom,"Parrot Bay Coconut Rum, Stoli Vanilla Vodka, Mango Purée, Coconut Milk, Simple Syrup, and Coconut Foam",$15.50,false
88,Beer,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Beer,,Adventureland,Magic Kingdom,assorted varieties,$9.75-$12,false
89,Kungaloosh Spiced Excursion Ale,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Beer,,Adventureland,Magic Kingdom,"Florida (16-oz draft)
African inspired deep amber ale brewed exclusively for Walt Disney World®",$11.75,false
90,Wines,"Jungle Navigation Co., Ltd. Skipper Canteen  - Lunch/Dinner",Wine,,Adventureland,Magic Kingdom,"Sparkling, White, Red; $52-$79 bottle; glass",$12-$20,false
91,Joffrey's™ Cold Brew Coffee with Sweet Cream,Sunshine Tree Terrace - All-Day,Beverages,,Adventureland,Magic Kingdom,,$5.99,false
92,Large Joffrey's™ Cold Brew Coffee with Sweet Cream,Sunshine Tree Terrace - All-Day,Beverages,Snack,Adventureland,Magic Kingdom,,$6.49,true
93,Assorted Fountain Beverages,Sunshine Tree Terrace - All-Day,Beverages,Snack,Adventureland,Magic Kingdom,"Coke, Diet Coke, Sprite, Orange, Root Beer",$4.79,true
94,Bottled Water,Sunshine Tree Terrace - All-Day,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
95,Ice Cream Float,Sunshine Tree Terrace - All-Day,Ice Cream,Snack,Adventureland,Magic Kingdom,served with your choice of fountain beverage and choice of soft serve or dole whip,$6.79,true
96,"I Lava You Float,",Sunshine Tree Terrace - All-Day,Ice Cream,Snack,Adventureland,Magic Kingdom,Fanta® Strawberry Soda and Passion Fruit flavor served with DOLE Whip® Orange and topped with Popping Candy,$7.59,true
97,Orange Cream,Sunshine Tree Terrace - All-Day,Ice Cream,Snack,Adventureland,Magic Kingdom,DOLE Whip® Orange and Vanilla Swirl,$5.79,true
98,Swirl Soft-serve Cup,Sunshine Tree Terrace - All-Day,Ice Cream,Snack,Adventureland,Magic Kingdom,"DOLE Whip, Chocolate, Vanilla, Strawberry, Orange or swirl options",$5.79,true
99,"Red, White, and Blush Wines",The Beak and Barrel - All Day,Beer & Wine,,Adventureland,Magic Kingdom,Assorted,$11-$19,false
100,Exclusive Draft Beer,The Beak and Barrel - All Day,Beer & Wine,,Adventureland,Magic Kingdom,Assorted,$10-$14,false
101,Kraken’s Catch,The Beak and Barrel - All Day,Small Plates,,Adventureland,Magic Kingdom,"This cold salad is quite unique with octopus tentacles – yes, you heard that right – marinated in lemon and lime juice and paired with olives, bell peppers, avocado, and Piquillo pepper-almond foam.",$18,false
102,Cook’s Corn Griddle Cakes,The Beak and Barrel - All Day,Small Plates,,Adventureland,Magic Kingdom,"This warm corn cake is stuffed with melted cheese, lime sour cream, and chili peppers topped with cotija cheese. There are two paths you can take on your foodie adventure – one with roasted corn and poblano peppers",$12,false
103,Island Provisions,The Beak and Barrel - All Day,Small Plates,,Adventureland,Magic Kingdom,"his dish takes flair and flavors from the Caribbean and Central America regions. Grab your crew for this shareable bite with plantain chips, blue corn tortillas, and toasted flatbread served with various savory dips.",$16,false
104,Cook’s Corn Griddle Cakes with Chipotle-braised Chicken,The Beak and Barrel - All Day,Small Plates,,Adventureland,Magic Kingdom,"Warm Corn Cakes stuffed with Melted Cheese, Lime Sour Cream, Chili Peppers, and Cotija",$14,false
105,The Treasure Trove,The Beak and Barrel - All Day,Specialty Beverages (non-alcoholic),,Adventureland,Magic Kingdom,"mix of ube, lemon, and coconut, you can also snack on some sweet treats, like a vanilla cake plank, chocolate cannonball, and golden caramel popcorn.",$13.75,false
106,The Cursed Treasure,The Beak and Barrel - All Day,Specialty Beverages (non-alcoholic),,Adventureland,Magic Kingdom,This features a delicious combination of coconut milk and cookie crumbs topped with vanilla foam and pirate’s gold cookie.,$7.75,false
107,Salty Seas mARRRgarita,The Beak and Barrel - All Day,Specialty Cocktails,,Adventureland,Magic Kingdom,"This drink features Southeast Asian flavors, such as ube which gives it the striking purple color, as well as Lalo Blanco Tequilla, Cointreau Liqueur, and lime.",$20,false
108,Siren’s Whisper,The Beak and Barrel - All Day,Specialty Cocktails,,Adventureland,Magic Kingdom,"It combines Pot & Column Still White Rum with citrus and spice. This sip was inspired by the Fountain of Youth, also known as the Aqua de Vida from the films. For the final drop of allure, the drink is topped with a special siren tear.",$20,false
109,Barrels Ablaze,The Beak and Barrel - All Day,Specialty Cocktails,,Adventureland,Magic Kingdom,"It features Jack Daniel’s Bonded Bourbon, a hint of honey, and a dash of spice.",$19,false
110,Hibiscus Rum Punch Royale,The Beak and Barrel - All Day,Specialty Cocktails,,Adventureland,Magic Kingdom,"Rum-based drink topped with prosecco. The bubbly effervescence combined with hibiscus, demerara and citrus will make you feel like you’re charting the Atlantic.",$19,false
111,Port of Call,The Beak and Barrel - All Day,Specialty Cocktails,,Adventureland,Magic Kingdom,"This delightful sip brings the flavor. With London Dry Gin, Ruby Port, lemon juice, and spiced cranberry, you’ll be wanting to live the pirate’s life.",$19,false
112,Lit Fuse,The Beak and Barrel - All Day,Specialty Cocktails,,Adventureland,Magic Kingdom,"Los Siete Misterios Doba -Yej Meszal, and flavors of banana, coconut, and smoked chili bitters, this beverage will light up your taste buds.",$18.50,false
113,Plunderer’s Punch,The Beak and Barrel - All Day,Specialty Cocktails,,Adventureland,Magic Kingdom,"It has Kraken Black Spiced Rum, blackberry, vanilla, and a hint of citrus. For some added treasure to take home with you, this sip comes in a souvenir pirate skull mug. This special loot is limited to one per guest.",$46,false
114,Foursquare Rum Distillery Exceptional Cask Selection Mark XXVIII,The Beak and Barrel - All Day,Spirits,,Adventureland,Magic Kingdom,2-oz pour,$45,false
115,Flor de Caña 25 yr Rum,The Beak and Barrel - All Day,Spirits,,Adventureland,Magic Kingdom,2-oz pour,$45,false
116,Diplomático Ambassador Selection Rum,The Beak and Barrel - All Day,Spirits,,Adventureland,Magic Kingdom,2-oz pour,$55,false
117,"Peanut Butter, Chocolate-Hazelnut Spread, and Banana Sandwich,",Tortuga Tavern - Lunch/Dinner,Entrees,,Adventureland,Magic Kingdom,Served with House-made Chips,$10.99,false
118,Barbecued Slaw Dog,Tortuga Tavern - Lunch/Dinner,Entrees,,Adventureland,Magic Kingdom,All-Beef Hot Dog topped with Barbecued Pork and Slaw served with House-made Chips,$12.99,false
119,"Orange Chicken Strips,",Tortuga Tavern - Lunch/Dinner,Entrees,,Adventureland,Magic Kingdom,Tossed in a Sweet Orange-Soy Glaze and topped with Green Onions,$11.29,false
120,"Barbecued Pork Sandwich,",Tortuga Tavern - Lunch/Dinner,Entrees,,Adventureland,Magic Kingdom,Served with House-made Chips,$12.49,false
121,All-Beef Hot Dog,Tortuga Tavern - Lunch/Dinner,Entrees,,Adventureland,Magic Kingdom,Served with House-made Chips,$10.99,false
122,Fountain Beverages,Tortuga Tavern - Lunch/Dinner,Beverages,Snack,Adventureland,Magic Kingdom,"Coke, Diet Coke, Sprite, Powerade, Light Lemonade, Apple Juice, Iced Tea",$4.79,true
123,Bottled Water,Tortuga Tavern - Lunch/Dinner,Beverages,Snack,Adventureland,Magic Kingdom,,$4.25,true
124,"Desert Pear Lemonade Pirate Slushy,",Tortuga Tavern - Lunch/Dinner,Specialty Beverages (non-alcoholic),Snack,Adventureland,Magic Kingdom,Lemonade,$6.49,true
125,Fresh Fruit,Be Our Guest - Children's  Lunch,Dessert,,Fantasyland,Magic Kingdom,with Honey Yogurt Dip,,false
126,Dessert Duo,Be Our Guest - Children's  Lunch,Dessert,,Fantasyland,Magic Kingdom,,,false
127,Premium Lemonade in a Souvenir cup,Be Our Guest - Children's  Lunch,Specialty Kid's Drinks,,Fantasyland,Magic Kingdom,Served in an Enchanted Light-up souvenir cup,$19.75,false
128,Château Shimmer,Be Our Guest - Children's  Lunch,Specialty Kid's Drinks,,Fantasyland,Magic Kingdom,"Pomegranate Green Tea blended with Hibiscus, Lemon, and a dash of Star Dust served in an Enchanted Light-up Souvenir Cup",$21.75,false
129,Specialty Character Drink,Be Our Guest - Children's  Lunch,Specialty Kid's Drinks,,Fantasyland,Magic Kingdom,Zero Sugar Lemonade with flavors of Cotton Candy served in a Souvenir Character Cup,$7.00,false
130,Iceberg Salad,Be Our Guest - Children's  Lunch,Appetizers/Starters,,Fantasyland,Magic Kingdom,with Ranch Dressing,,false
131,Fruit and Cheese Plate,Be Our Guest - Children's  Lunch,Appetizers/Starters,,Fantasyland,Magic Kingdom,,,false
132,Fresh Fruit Bowl,Be Our Guest - Children's  Lunch,Appetizers/Starters,,Fantasyland,Magic Kingdom,,,false
133,Pan-seared Chicken Breast,Be Our Guest - Children's  Lunch,Entrees,,Fantasyland,Magic Kingdom,,,false
134,House-made Macaroni & Cheese,Be Our Guest - Children's  Lunch,Entrees,,Fantasyland,Magic Kingdom,,,false
135,Chicken Strips,Be Our Guest - Children's  Lunch,Entrees,,Fantasyland,Magic Kingdom,,,false
136,Pan-seared Shrimp,Be Our Guest - Children's  Lunch,Entrees,,Fantasyland,Magic Kingdom,,,false
137,Braised Beef Short Rib,Be Our Guest - Children's  Lunch,Entrees,,Fantasyland,Magic Kingdom,,,false
138,Steamed Fresh Green Beans,Be Our Guest - Children's  Lunch,entrees,,Fantasyland,Magic Kingdom,,,false
139,French Fries,Be Our Guest - Children's  Lunch,entrees,,Fantasyland,Magic Kingdom,,,false
140,Brown Rice,Be Our Guest - Children's  Lunch,entrees,,Fantasyland,Magic Kingdom,,,false
141,Sauteed Squash,Be Our Guest - Children's  Lunch,entrees,,Fantasyland,Magic Kingdom,,,false
142,Sweet Potatoes,Be Our Guest - Children's  Lunch,entrees,,Fantasyland,Magic Kingdom,,,false
143,Premium Lemonade in a Souvenir cup,Be Our Guest - Children's Dinner,Specialty Kid's Drinks,,Fantasyland,Magic Kingdom,Served in an Enchanted Light-up souvenir cup,$19.75,false
